,year,week number,combined week date,result,score,game loc,turf adv,month,day
0,2015,Week 1,Sep 14,L,26-24,at Atlanta Falcons,away,9,14
1,2015,Week 2,Sep 20,L,20-10,vs Dallas Cowboys,home,9,20
2,2015,Week 3,Sep 27,W,24-17,at New York Jets,away,9,27
3,2015,Week 4,Oct 4,L,23-20,at Washington Redskins,away,10,4
4,2015,Week 5,Oct 11,W,39-17,vs New Orleans Saints,home,10,11
5,2015,Week 6,Oct 19,W,27-7,vs New York Giants,home,10,19
6,2015,Week 7,Oct 25,L,27-16,at Carolina Panthers,away,10,25
7,2015,Week 8,Bye Week,Bye Week,Bye Week,nan,no game,,Week
8,2015,Week 9,Nov 8,W,33-27,at Dallas Cowboys (OT),away,11,8
9,2015,Week 10,Nov 15,L,20-19,vs Miami Dolphins,home,11,15
10,2015,Week 11,Nov 22,L,45-17,vs Tampa Bay Buccaneers,home,11,22
11,2015,Week 12,Nov 26,L,45-14,at Detroit Lions,away,11,26
12,2015,Week 13,Dec 6,W,35-28,at New England Patriots,away,12,6
13,2015,Week 14,Dec 13,W,23-20,vs Buffalo Bills,home,12,13
14,2015,Week 15,Dec 20,L,40-17,vs Arizona Cardinals,home,12,20
15,2015,Week 16,Dec 26,L,38-24,vs Washington Redskins,home,12,26
16,2015,Week 17,Jan 3,W,35-30,at New York Giants,away,1,3
17,2016,Week 1,Sep 11,W,29-10,vs Cleveland Browns,home,9,11
18,2016,Week 2,Sep 19,W,29-14,at Chicago Bears,away,9,19
19,2016,Week 3,Sep 25,W,34-3,vs Pittsburgh Steelers,home,9,25
20,2016,Week 4,Bye Week,Bye Week,Bye Week,nan,no game,,Week
21,2016,Week 5,Oct 9,L,24-23,at Detroit Lions,away,10,9
22,2016,Week 6,Oct 16,L,27-20,at Washington Redskins,away,10,16
23,2016,Week 7,Oct 23,W,21-10,vs Minnesota Vikings,home,10,23
24,2016,Week 8,Oct 30,L,29-23,at Dallas Cowboys (OT),away,10,30
25,2016,Week 9,Nov 6,L,28-23,at New York Giants,away,11,6
26,2016,Week 10,Nov 13,W,24-15,vs Atlanta Falcons,home,11,13
27,2016,Week 11,Nov 20,L,26-15,at Seattle Seahawks,away,11,20
28,2016,Week 12,Nov 28,L,27-13,vs Green Bay Packers,home,11,28
29,2016,Week 13,Dec 4,L,32-14,at Cincinnati Bengals,away,12,4
30,2016,Week 14,Dec 11,L,27-22,vs Washington Redskins,home,12,11
31,2016,Week 15,Dec 18,L,27-26,at Baltimore Ravens,away,12,18
32,2016,Week 16,Dec 22,W,24-19,vs New York Giants,home,12,22
33,2016,Week 17,Jan 1,W,27-13,vs Dallas Cowboys,home,1,1
34,2017,Week 1,Sep 10,W,30-17,at Washington Redskins,away,9,10
35,2017,Week 2,Sep 17,L,27-20,at Kansas City Chiefs,away,9,17
36,2017,Week 3,Sep 24,W,27-24,vs New York Giants,home,9,24
37,2017,Week 4,Oct 1,W,26-24,at Los Angeles Chargers,away,10,1
38,2017,Week 5,Oct 8,W,34-7,vs Arizona Cardinals,home,10,8
39,2017,Week 6,Oct 12,W,28-23,at Carolina Panthers,away,10,12
40,2017,Week 7,Oct 23,W,34-24,vs Washington Redskins,home,10,23
41,2017,Week 8,Oct 29,W,33-10,vs San Francisco 49ers,home,10,29
42,2017,Week 9,Nov 5,W,51-23,vs Denver Broncos,home,11,5
43,2017,Week 10,Bye Week,Bye Week,Bye Week,nan,no game,,Week
44,2017,Week 11,Nov 19,W,37-9,at Dallas Cowboys,away,11,19
45,2017,Week 12,Nov 26,W,31-3,vs Chicago Bears,home,11,26
46,2017,Week 13,Dec 3,L,24-10,at Seattle Seahawks,away,12,3
47,2017,Week 14,Dec 10,W,43-35,at Los Angeles Rams,away,12,10
48,2017,Week 15,Dec 17,W,34-29,at New York Giants,away,12,17
49,2017,Week 16,Dec 25,W,19-10,vs Oakland Raiders,home,12,25
50,2017,Week 17,Dec 31,L,6-0,vs Dallas Cowboys,home,12,31
51,2018,Week 1,Sep 6,W,18-12,vs Atlanta Falcons,home,9,6
52,2018,Week 2,Sep 16,L,27-21,at Tampa Bay Buccaneers,away,9,16
53,2018,Week 3,Sep 23,W,20-16,vs Indianapolis Colts,home,9,23
54,2018,Week 4,Sep 30,L,26-23,at Tennessee Titans (OT),away,9,30
55,2018,Week 5,Oct 7,L,23-21,vs Minnesota Vikings,home,10,7
56,2018,Week 6,Oct 11,W,34-13,at New York Giants,away,10,11
57,2018,Week 7,Oct 21,L,21-17,vs Carolina Panthers,home,10,21
58,2018,Week 8,Oct 28,W,24-18,"at Jacksonville Jaguars at London, England",away,10,28
59,2018,Week 9,Bye Week,Bye Week,Bye Week,nan,no game,,Week
