,Song Name,Mean Streams,Total Streams,Stream Count,Mean Duration,Total Duration,First Quarter,Last Quarter
0,2002,109962.19980525803,564655896,5135,186986.0,960173110,2018Q4,2020Q3
1,!,21651.913580246914,1753805,81,163956.0,13280436,2019Q3,2020Q1
2,"""Eléglesz""",8817.0,8817,1,207000.0,207000,2016Q1,2016Q1
3,"""Hit the Quan"" #HTQ",523592.5,3141555,6,181080.0,1086480,2015Q3,2015Q3
4,"""Jag fakking hatar er""",238270.0,1191350,5,145969.0,729845,2018Q4,2018Q4
5,"""Solo"" E' Solo Una Parola",94732.5,757860,8,221640.0,1773120,2016Q4,2016Q4
6,# fuori c'è il sole,152749.13888888888,10997938,72,192720.0,13875840,2015Q4,2016Q1
7,#10 Dream,261649.0,784947,3,96810.0,290430,2016Q3,2016Q3
8,#25,264912.0,1059648,4,193714.0,774856,2020Q4,2020Q4
9,#302,112749.70833333333,2705993,24,268866.0,6452784,2019Q4,2020Q1
10,#31#,21661.61111111111,3119272,144,200200.0,28828800,2019Q3,2020Q1
11,#7.8,355038.0,355038,1,160026.0,160026,2020Q1,2020Q1
12,#99,117648.5,941188,8,206923.0,1655384,2016Q4,2016Q4
13,#AiChoAi,53128.434782608696,1221954,23,159973.0,3679379,2021Q4,2021Q4
14,#Askip,158579.46153846153,8246132,52,233146.0,12123592,2016Q4,2016Q4
15,#BFHFA,156641.0,626564,4,197101.0,788404,2016Q4,2016Q4
16,#BaWéMonAmi,55035.0,220140,4,247210.0,988840,2015Q4,2015Q4
17,#Biziz - feat. Lil Bege,68102.875,1634469,24,190200.0,4564800,2017Q3,2017Q4
18,#Brjálaður,3729.7872340425533,175300,47,185287.0,8708489,2016Q4,2016Q4
19,#BrooklynBloodPop!,12212.886363636364,1074734,88,145610.0,12813680,2021Q3,2021Q4
20,#COMOTODOSFAZEM,22939.0,91756,4,231226.0,924904,2018Q4,2018Q4
21,#CTZK,39310.5,1493799,38,216573.0,8229774,2017Q3,2017Q4
22,#Canta,41758.885,8351777,200,189693.0,37938600,2015Q1,2016Q1
23,#DRILL1AB,6072.0,24288,4,137147.0,548588,2021Q4,2021Q4
24,#DRILL1BB,5925.0,23700,4,100669.0,402676,2021Q4,2021Q4
25,#DansLeTierquar (Lyon),355229.6,7104592,20,101544.0,2030880,2018Q3,2018Q4
26,#DansLeTierquar (Marseille),376608.5,9038604,24,115334.0,2768016,2018Q3,2018Q4
27,#DansLeTierquar (Nantes),436399.0652173913,20074357,46,102982.0,4737172,2018Q4,2018Q4
28,#Eroina - Midi Culture Remix,2259.911111111111,101696,45,230000.0,10350000,2016Q4,2016Q4
29,#FML,486106.6666666667,1458320,3,215235.0,645705,2016Q1,2016Q1
30,#FleKKsinonem,4963.666666666667,119128,24,346117.0,8306808,2018Q3,2018Q4
31,#Glaiter,20698.0,82792,4,270914.0,1083656,2018Q4,2018Q4
32,#HEY!,35029.11111111111,1261048,36,146625.0,5278500,2016Q4,2016Q4
33,#Hot16Challenge2,186410.18421052632,21250761,114,129089.22807017544,14716172,2020Q4,2020Q3
34,#Idiota,264703.3333333333,6352880,24,183923.0,4414152,2018Q3,2018Q4
35,#JM,679034.0,23766190,35,211911.0,7416885,2017Q4,2017Q4
36,#JesuispasséchezSo EP 12,674155.0,674155,1,200187.0,200187,2020Q1,2020Q1
37,#LIFEGOALS,256192.0,768576,3,221958.0,665874,2018Q4,2018Q4
38,#Lávkóma,8224.863636363636,180947,22,198750.0,4372500,2017Q3,2017Q4
39,#Malentouré,367413.5,2204481,6,182946.0,1097676,2021Q4,2021Q4
40,#Natural,97015.40157480315,24641912,254,227013.0,57661302,2017Q4,2017Q4
41,#Nett,1980.090909090909,87124,44,321920.0,14164480,2015Q3,2015Q4
42,#Nomaksāt,1933.0,7732,4,183211.0,732844,2015Q4,2015Q4
43,#OET,2776.1724137931033,161018,58,153165.0,8883570,2016Q4,2016Q4
44,#OuDiriHakka,18766.71212121212,1238603,66,171760.0,11336160,2021Q3,2021Q4
45,#PTD,240814.6923076923,3130591,13,226546.0,2945098,2017Q4,2017Q4
46,#PTT,61847.0,247388,4,200746.0,802984,2015Q4,2015Q4
47,#Prezidents (feat. Renārs Zeltiņš),1773.75,21285,12,224000.0,2688000,2015Q3,2015Q3
48,#RapSinCorte L,424616.52173913043,9766180,23,508657.0,11699111,2021Q4,2021Q4
49,#Rohffback,252650.0,1263250,5,199089.0,995445,2018Q4,2018Q4
50,#SELFIE,30020.384615384617,1951325,65,183750.0,11943750,2015Q1,2015Q1
51,#SNTL,261217.0,1306085,5,209115.0,1045575,2018Q4,2018Q4
52,#SUPERGIRLS,8723.0,52338,6,254410.0,1526460,2015Q3,2015Q3
53,#Sarkanbaltsarkanais,8162.685714285714,285694,35,195818.0,6853630,2019Q4,2020Q4
54,#Skakelen,274216.0344827586,7952265,29,152220.0,4414380,2019Q4,2020Q1
55,#Sohavégetnemérős,5856.0,70272,12,211475.0,2537700,2016Q4,2016Q4
56,#Stockholmsjul,192519.0,770076,4,217813.0,871252,2015Q4,2015Q4
57,#Summerbody,10846.223880597016,726697,67,189750.0,12713250,2019Q3,2020Q4
58,#SzuperCsillagParaszt,3246.0,12984,4,225066.0,900264,2015Q4,2015Q4
59,#THOTMILANODM,333536.65625,10673173,32,186000.0,5952000,2020Q4,2020Q3
60,#TIPONADA (feat. João Sousa),46959.307692307695,1831413,39,175120.0,6829680,2019Q3,2019Q4
61,#Tapak,2788.0,11152,4,218554.0,874216,2018Q3,2018Q3
62,#WHERESTHELOVE - Charity Single,34290.07894736842,1303023,38,325386.0,12364668,2016Q3,2016Q4
63,#Ysya2020 Vol. 4 - Pasa Que Yo,223763.0,3580208,16,100365.0,1605840,2020Q4,2020Q4
64,#Ysya2020 Vol. 5 - Silbando,152944.125,4894212,32,119438.0,3822016,2020Q4,2020Q4
65,#Ysya2020 Vol. 6 - Un Flow de Infarto,157586.81818181818,6933820,44,142376.0,6264544,2020Q4,2020Q4
66,#icanteven,59507.59701492537,3987009,67,234253.0,15694951,2015Q1,2015Q1
67,#ihanaa,68012.71641791044,4556852,67,220176.0,14751792,2018Q4,2018Q4
68,#janeinvielleicht,22994.714285714286,643852,28,173856.0,4867968,2018Q3,2018Q4
69,#santaclara,160022.5,1280180,8,198117.0,1584936,2016Q4,2016Q4
70,#tevagya,21692.0,325380,15,174250.0,2613750,2018Q4,2018Q4
71,$Efu,12666.0,50664,4,218039.0,872156,2019Q4,2019Q4
72,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),248679.87532467532,95741752,385,290835.0,111971475,2015Q4,2016Q4
73,$cuze,14494.291666666666,695726,48,144000.0,6912000,2019Q3,2020Q1
74,$€ Freestyle,1198300.8333333333,43138830,36,164468.0,5920848,2020Q4,2021Q1
75,'Di Na Babalik,523968.4794520548,38249699,73,340262.0,24839126,2019Q3,2020Q1
76,'Di Na Muli,428177.967032967,77928390,182,225270.86813186813,40999298,2018Q4,2018Q4
77,'Na Tazzulella 'E Caffe' ( Live ),23371.0,23371,1,127640.0,127640,2015Q1,2015Q1
78,'O Scarrafone,31742.0,31742,1,250906.0,250906,2015Q1,2015Q1
79,'O Ssaje Comme Fa 'O Core,34098.0,34098,1,237466.0,237466,2015Q1,2015Q1
80,'Pag Siya,97458.375,779667,8,246266.0,1970128,2015Q4,2016Q1
